"Activities" "ID" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
"LAYING" 1 0.20896421 -0.022742569 -0.16644945 -0.30336177 0.91828313 -0.33406763 0.10743578 0.04915265 0.15072266 -0.072931964 -0.081659445 0.11781819 -0.12117714 -0.040054031 -0.024570479 -0.8716271 -0.8716271 -0.99032317 -0.94897412 -0.99312553 -0.96460237 -0.95018078 -0.82504955 -0.42103335 -0.069719686 -0.18773824 -0.99280525 -0.99180572 -0.98709146 0.11326578 0.23530437 -0.24699029 -0.9646197 -0.99748597 -0.96229156 0.046186949 -0.25347912 0.35036873 -0.85175682 -0.26135795 -0.98937615 0.46392077 -0.97517385 -0.25174273 -0.99064043 0.09907692 -0.95384561 -0.93132033 -0.72608707 -0.89331474 -0.95365793 -0.734641 -0.99243161 -0.99221644 -0.98720213 -0.97380182 -0.99682582 -0.97242819 -0.98662501 -0.99904817 -0.98342685 -0.80367303 -0.80367303 -0.99078066 -0.9665803 -0.991068 -0.94983211 -0.92601694 -0.70021963 -0.99263304 -0.9933517 -0.98563267 -0.97669695 -0.99634094 -0.97923662 -0.81023632 -0.9916852 -0.96655145 -0.99196341
"LAYING" 2 0.27714817 -0.017613671 -0.10740418 -0.32929296 0.78699735 0.5935264 0.07801449 0.011432439 -0.0082167336 -0.026934905 -0.079410631 0.084496366 -0.098658004 -0.040000544 -0.054629822 -0.99498047 -0.99498047 -0.99152008 -0.99302085 -0.99529956 -0.99518263 -0.98617357 -0.99006369 0.0030889742 0.27967351 0.54309903 -0.99443229 -0.98517116 -0.98848152 0.15033775 0.20169919 0.3815136 -0.9952164 -0.99299893 -0.99222111 0.19132777 0.037085742 0.072208187 -0.99451448 0.64491878 -0.99038007 0.33060059 -0.99424108 0.22246117 -0.99579464 0.079985879 -0.99596232 -0.98768288 -0.99154784 -0.99844386 -0.99485932 -0.99162341 -0.99387426 -0.98473218 -0.99061769 -0.99667036 -0.99159447 -0.99006332 -0.99508416 -0.99419426 -0.99466805 -0.99555631 -0.99555631 -0.99136646 -0.99345303 -0.99571461 -0.99628341 -0.9882282 -0.99240992 -0.99372316 -0.98523482 -0.99139037 -0.9971292 -0.99072262 -0.99006706 -0.99622249 -0.99161196 -0.99379281 -0.99545596
"LAYING" 3 0.27527453 -0.0191315 -0.10443454 -0.17934607 0.85328244 0.45130536 0.073672854 0.0082536417 0.0023112057 -0.032946875 -0.090243567 0.063016533 -0.097968156 -0.038814578 -0.053833435 -0.99475899 -0.99475899 -0.98915278 -0.9880583 -0.99659504 -0.99058076 -0.98953371 -0.99013129 0.1825301 0.50045812 0.54026519 -0.98618435 -0.98762982 -0.985717 0.33256218 0.36645515 0.38802475 -0.99504786 -0.99533677 -0.99184644 0.1356619 0.096908171 0.36978095 -0.99247843 0.77194909 -0.98741283 0.3970293 -0.99526302 0.24715178 -0.99533139 0.23532958 -0.99300649 -0.99288977 -0.99223543 -0.99533269 -0.99880176 -0.99010796 -0.98647438 -0.9878569 -0.98843489 -0.99622268 -0.99584528 -0.99384845 -0.99565678 -0.99623948 -0.99183456 -0.9946541 -0.9946541 -0.98716413 -0.99507364 -0.99500487 -0.99423414 -0.99442412 -0.99354981 -0.98805235 -0.98902661 -0.98987259 -0.99655365 -0.99616177 -0.99522717 -0.99654943 -0.98528706 -0.99562375 -0.99446238
"LAYING" 4 0.24265357 -0.013205916 -0.10571813 -0.42789295 0.93541392 0.32245939 0.084128489 0.0037652666 -0.0077858919 -0.029567891 -0.090384872 0.20626506 -0.098479176 -0.034654132 -0.099040819 -0.97405211 -0.97405211 -0.98313439 -0.94200402 -0.99164615 -0.98644781 -0.97317956 -0.97522555 -0.28425275 0.45715211 -0.065913232 -0.9917773 -0.9711361 -0.98168594 0.2697843 0.10304483 0.024382601 -0.98516646 -0.98274961 -0.93688577 -0.050047955 -0.37133371 0.022885885 -0.98218662 0.094360703 -0.98317093 0.41297729 -0.95841226 -0.1854078 -0.99183892 0.22477264 -0.98473135 -0.97900715 -0.96506718 -0.95444446 -0.98564648 -0.97425769 -0.99149391 -0.97024215 -0.98431146 -0.98689419 -0.97101558 -0.93670008 -0.98721929 -0.99145693 -0.99494753 -0.97573337 -0.97573337 -0.98504021 -0.94178449 -0.99228366 -0.98385015 -0.98298396 -0.96126197 -0.99189129 -0.97121923 -0.98551519 -0.98738244 -0.96555557 -0.9422342 -0.97476882 -0.9865578 -0.9412349 -0.99294899
"LAYING" 5 0.27542517 -0.018260707 -0.14760623 -0.48979724 0.9864672 -0.042282939 0.08328744 0.01563116 -0.020920726 -0.018419031 -0.093530136 0.087944057 -0.098723679 -0.034596444 -0.051194699 -0.94894045 -0.94894045 -0.94735111 -0.93711786 -0.94391236 -0.95614958 -0.91845828 -0.9610052 0.018578014 0.28266962 0.17248904 -0.94614654 -0.91446582 -0.96975676 0.1352736 -0.23430086 -0.076382512 -0.94825732 -0.91022682 -0.92773542 -0.14094581 -0.28413023 -0.19226926 -0.93350411 0.11799772 -0.92222964 -0.023905833 -0.89607888 -0.085951491 -0.93492035 0.0084010436 -0.96327448 -0.92388924 -0.96055688 -0.98976942 -0.99887292 -0.95009308 -0.94329443 -0.90725833 -0.9735631 -0.960644 -0.91185121 -0.92542986 -0.95355004 -0.93340967 -0.9419668 -0.93415584 -0.93415584 -0.9250562 -0.89243696 -0.93305673 -0.96644124 -0.93077415 -0.96254627 -0.94519353 -0.90527661 -0.97593951 -0.96453466 -0.91341149 -0.93130316 -0.94363825 -0.92789586 -0.90830932 -0.93491593
"LAYING" 6 0.2611185 -0.048375578 -0.094508931 -0.44910177 0.25277397 0.98092446 0.073669313 -0.0013178234 0.012156282 -0.04002686 -0.071037883 0.076022759 -0.098432542 -0.042357539 -0.055014155 -0.93905691 -0.93905691 -0.97355069 -0.94905337 -0.97760072 -0.96931663 -0.9129274 -0.96923586 -0.68525349 -0.50542039 0.042522973 -0.97885481 -0.95467662 -0.97742203 -0.37178511 -0.63022727 -0.24560117 -0.93540144 -0.9579013 -0.9643323 -0.38787418 -0.56107424 -0.63902577 -0.92924133 -0.58459143 -0.96658017 -0.10361302 -0.93980305 -0.47789481 -0.97216956 -0.38658608 -0.96461061 -0.88339126 -0.967664 -0.97074783 -0.95031197 -0.97882656 -0.97833614 -0.9486996 -0.97998522 -0.94381642 -0.94822839 -0.95676322 -0.95462637 -0.97770338 -0.98467388 -0.90343164 -0.90343164 -0.96375614 -0.91664445 -0.96605992 -0.96262061 -0.87629276 -0.96835117 -0.97966195 -0.94534023 -0.98102789 -0.94652754 -0.94323086 -0.95819101 -0.90480744 -0.95835689 -0.91640264 -0.96092051
"LAYING" 7 0.28364238 -0.018090939 -0.10655575 -0.33612984 0.90754055 0.3825664 0.075692278 0.011542429 0.0062339625 -0.031676712 -0.086637712 0.080085315 -0.094105156 -0.04010012 -0.05355715 -0.99494204 -0.99494204 -0.99329612 -0.99146624 -0.99548181 -0.99449338 -0.99325655 -0.99168264 -0.044527154 0.52632851 0.30093531 -0.99352349 -0.99055993 -0.99157757 0.21662068 0.3084133 0.20197281 -0.9947744 -0.99401048 -0.99513322 0.12529697 0.1839569 0.18034591 -0.99517801 0.46279778 -0.99465481 0.63980814 -0.99562423 0.36500183 -0.99618118 0.16609266 -0.99518044 -0.99589635 -0.98850851 -0.99771477 -0.99823503 -0.98996919 -0.99334221 -0.98956312 -0.99319695 -0.99432186 -0.99316707 -0.99542204 -0.99812044 -0.99335795 -0.99561598 -0.99579181 -0.99579181 -0.99525193 -0.99565279 -0.99573506 -0.9954278 -0.9967648 -0.98650825 -0.99369584 -0.98900816 -0.99340386 -0.99413606 -0.99259948 -0.99585657 -0.9960388 -0.99493304 -0.99630037 -0.99498841
"LAYING" 8 0.29275667 -0.013916691 -0.10774243 -0.71859599 0.17910181 0.98414982 0.071500809 0.017177947 0.0056540782 -0.025396427 -0.074500264 0.089505177 -0.10504098 -0.035791306 -0.060273945 -0.98501426 -0.98501426 -0.98979069 -0.98516018 -0.99219585 -0.98770107 -0.98591808 -0.98547186 -0.35238649 -0.198747 0.37557584 -0.99006705 -0.99349362 -0.98313722 -0.08173707 -0.034602667 0.087514032 -0.9864044 -0.98372421 -0.98903892 0.088137755 -0.36442686 0.13737846 -0.99129833 0.22609324 -0.98905363 0.50295184 -0.98420775 -0.13610365 -0.99275769 0.22463715 -0.98577836 -0.97959483 -0.98697523 -0.98862787 -0.99465298 -0.99877378 -0.99014469 -0.99318201 -0.98619201 -0.98928646 -0.97999443 -0.99101763 -0.99030075 -0.99107697 -0.99437307 -0.98768039 -0.98768039 -0.9907017 -0.98229252 -0.99285104 -0.98481743 -0.97679537 -0.98819047 -0.99111829 -0.9932354 -0.98798574 -0.99013688 -0.97794824 -0.9925559 -0.98629914 -0.99213364 -0.98374781 -0.99307654
"LAYING" 9 0.07654368 -0.3628841 -0.57618401 -0.50179878 0.49067623 -0.80772951 0.33678139 0.25498937 0.50014373 0.045361057 0.65585432 0.40145353 -0.11174261 -0.1283027 -0.023000992 -0.20400766 -0.20400766 -0.83176921 -0.40966554 -0.80373409 -0.6532483 -0.52099682 -0.39703399 -0.31297268 -0.38405182 0.12710222 -0.90262776 -0.84986758 -0.72094522 0.33874315 -0.19376333 -0.20941137 -0.39268452 -0.83229738 -0.80023815 -0.48359197 -0.23443386 -0.13925052 -0.21200473 -0.18894214 -0.76739556 0.10000367 -0.57729744 -0.46018363 -0.76061318 -0.11847968 -0.61677655 -0.15209655 -0.15085569 -0.28036492 -0.16560001 0.025192459 -0.91249156 -0.85727027 -0.7559552 -0.40888917 -0.82312431 -0.81530893 -0.56383249 -0.91306807 -0.88149494 0.13024901 0.13024901 -0.78555583 -0.42183652 -0.76362931 -0.60307723 -0.061116759 -0.097406943 -0.93396867 -0.87790066 -0.79074144 -0.41979567 -0.81882248 -0.83729131 0.10610678 -0.80933109 -0.42571471 -0.78425749
"LAYING" 10 0.27113194 -0.016477308 -0.10910051 -0.12592083 0.93557809 0.16838826 0.082900494 0.0021247286 0.0068813678 -0.019711813 -0.034104449 0.16524614 -0.10801367 -0.054863482 -0.098232493 -0.99576562 -0.99576562 -0.99402366 -0.95770953 -0.99861609 -0.99494826 -0.98876349 -0.99201468 -0.070654669 0.47884271 0.45336604 -0.99858499 -0.98764242 -0.99050411 0.30293841 0.092806798 0.16812298 -0.98489792 -0.98498548 -0.93564219 -0.045048105 -0.17083506 0.020009285 -0.99349044 0.49968361 -0.99449446 0.25265731 -0.95869836 -0.29133367 -0.99886293 0.33277628 -0.9943387 -0.99159003 -0.99261533 -0.98148217 -0.99223837 -0.99539551 -0.99815535 -0.98703764 -0.99216549 -0.98386121 -0.97985711 -0.92865367 -0.99800581 -0.9989112 -0.99620327 -0.99393043 -0.99393043 -0.99385852 -0.93115359 -0.99894315 -0.99392185 -0.99278612 -0.99272811 -0.99776262 -0.9871572 -0.99239765 -0.98365326 -0.97715584 -0.93276698 -0.9942233 -0.99138633 -0.92711185 -0.99878158
